RUN	test.scala.Simulation.FixedDurationLoadSimulation	fixeddurationloadsimulation	1594212395131	 	3.3.1
REQUEST	42		Get Specific Game	1594212425857	1594212425859	OK	 
REQUEST	34		Get all video games	1594212425873	1594212425875	OK	 
REQUEST	17		Get all video games	1594212425873	1594212425877	OK	 
REQUEST	34		Get all video games	1594212425876	1594212425879	OK	 
REQUEST	17		Get all video games	1594212425878	1594212425881	OK	 
USER	Fixed Duration Simulation	51	START	1594212426336	1594212426336
REQUEST	51		Get all video games	1594212426337	1594212426341	OK	 
REQUEST	43		Get Specific Game	1594212426343	1594212426345	OK	 
REQUEST	26		Get Specific Game	1594212426366	1594212426369	OK	 
REQUEST	35		Get all video games	1594212426376	1594212426378	OK	 
REQUEST	35		Get all video games	1594212426379	1594212426381	OK	 
REQUEST	18		Get all video games	1594212426397	1594212426400	OK	 
REQUEST	18		Get all video games	1594212426400	1594212426403	OK	 
USER	Fixed Duration Simulation	52	START	1594212426837	1594212426837
REQUEST	52		Get all video games	1594212426837	1594212426841	OK	 
REQUEST	44		Get Specific Game	1594212426857	1594212426860	OK	 
REQUEST	27		Get Specific Game	1594212426877	1594212426879	OK	 
REQUEST	19		Get all video games	1594212426897	1594212426900	OK	 
REQUEST	19		Get all video games	1594212426900	1594212426903	OK	 
USER	Fixed Duration Simulation	53	START	1594212427335	1594212427335
REQUEST	53		Get all video games	1594212427336	1594212427339	OK	 
REQUEST	45		Get Specific Game	1594212427356	1594212427359	OK	 
REQUEST	36		Get all video games	1594212427366	1594212427369	OK	 
REQUEST	36		Get all video games	1594212427371	1594212427372	OK	 
REQUEST	20		Get all video games	1594212427377	1594212427381	OK	 
REQUEST	20		Get all video games	1594212427382	1594212427384	OK	 
REQUEST	28		Get Specific Game	1594212427388	1594212427392	OK	 
REQUEST	4		Get Specific Game	1594212427507	1594212427516	OK	 
REQUEST	8		Get Specific Game	1594212427575	1594212427578	OK	 
REQUEST	9		Get Specific Game	1594212427596	1594212427601	OK	 
REQUEST	11		Get Specific Game	1594212427643	1594212427646	OK	 
REQUEST	2		Get Specific Game	1594212427647	1594212427650	OK	 
REQUEST	5		Get Specific Game	1594212427653	1594212427656	OK	 
REQUEST	1		Get Specific Game	1594212427653	1594212427658	OK	 
REQUEST	10		Get Specific Game	1594212427658	1594212427664	OK	 
REQUEST	3		Get Specific Game	1594212427669	1594212427673	OK	 
REQUEST	7		Get Specific Game	1594212427672	1594212427675	OK	 
REQUEST	6		Get Specific Game	1594212427676	1594212427680	OK	 
USER	Fixed Duration Simulation	54	START	1594212427833	1594212427833
REQUEST	54		Get all video games	1594212427833	1594212427840	OK	 
REQUEST	29		Get Specific Game	1594212427863	1594212427866	OK	 
REQUEST	12		Get Specific Game	1594212427874	1594212427878	OK	 
REQUEST	37		Get all video games	1594212427885	1594212427888	OK	 
REQUEST	37		Get all video games	1594212427889	1594212427891	OK	 
USER	Fixed Duration Simulation	55	START	1594212428333	1594212428333
REQUEST	55		Get all video games	1594212428333	1594212428338	OK	 
REQUEST	46		Get Specific Game	1594212428355	1594212428359	OK	 
REQUEST	30		Get Specific Game	1594212428367	1594212428370	OK	 
REQUEST	38		Get all video games	1594212428374	1594212428379	OK	 
REQUEST	38		Get all video games	1594212428382	1594212428385	OK	 
REQUEST	21		Get all video games	1594212428387	1594212428391	OK	 
REQUEST	21		Get all video games	1594212428392	1594212428395	OK	 
REQUEST	13		Get Specific Game	1594212428393	1594212428398	OK	 
REQUEST	47		Get Specific Game	1594212428856	1594212428858	OK	 
REQUEST	39		Get all video games	1594212428876	1594212428880	OK	 
REQUEST	39		Get all video games	1594212428882	1594212428884	OK	 
REQUEST	14		Get Specific Game	1594212428888	1594212428891	OK	 
REQUEST	22		Get all video games	1594212428892	1594212428895	OK	 
REQUEST	22		Get all video games	1594212428896	1594212428898	OK	 
USER	Fixed Duration Simulation	56	START	1594212429345	1594212429345
REQUEST	56		Get all video games	1594212429346	1594212429350	OK	 
REQUEST	48		Get Specific Game	1594212429356	1594212429359	OK	 
